BREITE;LAENGE;UNDULATION;EPSG_2D;EPSG_1D
46.6000000;13.0833333;1.575;4312;5778
46.6000000;13.1250000;1.515;4312;5778
46.6000000;13.1666667;1.468;4312;5778
46.6000000;13.2083333;1.412;4312;5778
46.6000000;13.2500000;1.344;4312;5778
46.6000000;13.2916667;1.292;4312;5778
46.6000000;13.3333333;1.262;4312;5778
46.6000000;13.3750000;1.241;4312;5778
46.6000000;13.4166667;1.226;4312;5778
46.6000000;13.4583333;1.196;4312;5778
46.6000000;13.5000000;1.155;4312;5778
46.6000000;13.5416667;1.117;4312;5778
46.6000000;13.5833333;1.095;4312;5778
46.6000000;13.6250000;1.101;4312;5778
46.6000000;13.6666667;1.136;4312;5778
46.6000000;13.7083333;1.122;4312;5778
46.6000000;13.7500000;1.054;4312;5778
46.6000000;13.7916667;0.968;4312;5778
46.6000000;13.8333333;0.882;4312;5778
46.6000000;13.8750000;0.845;4312;5778
46.6000000;13.9166667;0.831;4312;5778
46.6000000;13.9583333;0.816;4312;5778
46.6000000;14.0000000;0.793;4312;5778
46.6000000;14.0416667;0.773;4312;5778
46.6000000;14.0833333;0.765;4312;5778
46.6000000;14.1250000;0.754;4312;5778
46.6000000;14.1666667;0.729;4312;5778
46.6000000;14.2083333;0.715;4312;5778
46.6000000;14.2500000;0.698;4312;5778
46.6000000;14.2916667;0.676;4312;5778
46.6000000;14.3333333;0.676;4312;5778
46.6000000;14.3750000;0.695;4312;5778
46.6000000;14.4166667;0.720;4312;5778
46.6000000;14.4583333;0.744;4312;5778
46.6000000;14.5000000;0.761;4312;5778
46.6000000;14.5416667;0.787;4312;5778
46.6000000;14.5833333;0.803;4312;5778
46.6000000;14.6250000;0.815;4312;5778
46.6000000;14.6666667;0.838;4312;5778
46.6000000;14.7083333;0.865;4312;5778
46.6000000;14.7500000;0.889;4312;5778
46.6000000;14.7916667;0.922;4312;5778
46.6000000;14.8333333;0.988;4312;5778
46.6000000;14.8750000;1.032;4312;5778
46.6000000;14.9166667;1.050;4312;5778
46.6000000;14.9583333;1.048;4312;5778
46.6000000;15.0000000;1.056;4312;5778
46.6000000;15.0416667;1.092;4312;5778
46.6000000;15.0833333;1.091;4312;5778
46.6000000;15.1250000;1.060;4312;5778
46.6000000;15.1666667;1.034;4312;5778
46.6000000;15.2083333;1.017;4312;5778
46.6000000;15.2500000;1.010;4312;5778
46.6000000;15.2916667;1.012;4312;5778
46.6000000;15.3333333;0.994;4312;5778
46.6000000;15.3750000;0.985;4312;5778
46.6000000;15.4166667;0.953;4312;5778
46.6000000;15.4583333;0.924;4312;5778
46.6000000;15.5000000;0.869;4312;5778
46.6000000;15.5416667;0.781;4312;5778
46.6000000;15.5833333;0.672;4312;5778
46.6000000;15.6250000;0.552;4312;5778
46.6000000;15.6666667;0.442;4312;5778
46.6000000;15.7083333;0.351;4312;5778
46.6000000;15.9583333;0.015;4312;5778
46.6000000;16.0000000;-0.035;4312;5778
46.6000000;16.0416667;-0.074;4312;5778
46.6000000;16.0833333;-0.134;4312;5778
46.6000000;16.1250000;-0.200;4312;5778
46.6250000;12.3750000;3.136;4312;5778
46.6250000;12.4166667;3.059;4312;5778
46.6250000;12.4583333;2.968;4312;5778
46.6250000;12.5000000;2.910;4312;5778
46.6250000;12.5416667;2.867;4312;5778
46.6250000;12.5833333;2.809;4312;5778
46.6250000;12.6250000;2.730;4312;5778
46.6250000;12.6666667;2.672;4312;5778
46.6250000;12.7083333;2.602;4312;5778
46.6250000;12.7500000;2.488;4312;5778
46.6250000;12.7916667;2.364;4312;5778
46.6250000;12.8333333;2.256;4312;5778
46.6250000;12.8750000;2.146;4312;5778
46.6250000;12.9166667;2.023;4312;5778
46.6250000;12.9583333;1.886;4312;5778
46.6250000;13.0000000;1.784;4312;5778
46.6250000;13.0416667;1.691;4312;5778
46.6250000;13.0833333;1.604;4312;5778
46.6250000;13.1250000;1.521;4312;5778
46.6250000;13.1666667;1.449;4312;5778
46.6250000;13.2083333;1.390;4312;5778
46.6250000;13.2500000;1.336;4312;5778
46.6250000;13.2916667;1.302;4312;5778
46.6250000;13.3333333;1.272;4312;5778
46.6250000;13.3750000;1.248;4312;5778
46.6250000;13.4166667;1.242;4312;5778
46.6250000;13.4583333;1.226;4312;5778
46.6250000;13.5000000;1.219;4312;5778
46.6250000;13.5416667;1.216;4312;5778
46.6250000;13.5833333;1.212;4312;5778
46.6250000;13.6250000;1.205;4312;5778
46.6250000;13.6666667;1.213;4312;5778
46.6250000;13.7083333;1.186;4312;5778
46.6250000;13.7500000;1.112;4312;5778
46.6250000;13.7916667;1.034;4312;5778
46.6250000;13.8333333;0.978;4312;5778
46.6250000;13.8750000;0.946;4312;5778
46.6250000;13.9166667;0.938;4312;5778
46.6250000;13.9583333;0.933;4312;5778
46.6250000;14.0000000;0.913;4312;5778
46.6250000;14.0416667;0.883;4312;5778
46.6250000;14.0833333;0.850;4312;5778
46.6250000;14.1250000;0.821;4312;5778
46.6250000;14.1666667;0.793;4312;5778
46.6250000;14.2083333;0.770;4312;5778
46.6250000;14.2500000;0.749;4312;5778
46.6250000;14.2916667;0.723;4312;5778
46.6250000;14.3333333;0.705;4312;5778
46.6250000;14.3750000;0.714;4312;5778
46.6250000;14.4166667;0.740;4312;5778
46.6250000;14.4583333;0.769;4312;5778
46.6250000;14.5000000;0.800;4312;5778
46.6250000;14.5416667;0.825;4312;5778
46.6250000;14.5833333;0.839;4312;5778
46.6250000;14.6250000;0.850;4312;5778
46.6250000;14.6666667;0.868;4312;5778
46.6250000;14.7083333;0.890;4312;5778
46.6250000;14.7500000;0.914;4312;5778
